model,label,roc_auc,f1,precision,recall
DistilBERT (tuned thresholds),toxic,0.9850211495868242,0.8228123639529822,0.8213820078226858,0.8242477104230266
DistilBERT (tuned thresholds),severe_toxic,0.9900487000114965,0.49226006191950467,0.3906633906633907,0.6652719665271967
DistilBERT (tuned thresholds),obscene,0.9933574727191337,0.8431372549019608,0.8378799688230709,0.8484609313338595
DistilBERT (tuned thresholds),threat,0.9924379482164478,0.46616541353383456,0.31958762886597936,0.8611111111111112
DistilBERT (tuned thresholds),insult,0.9893014723957569,0.7675334909377463,0.7177597641857038,0.8247248094834886
DistilBERT (tuned thresholds),identity_hate,0.986700448000262,0.5109983079526227,0.3973684210526316,0.7156398104265402
